This is the complete list of games supported by MAME 0.95 (Mar 27 2005).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Bottom of the Ninth              |  Yes  |  Yes  |  Yes  |  Yes  | bottom9  |
| Boulder Dash                     |  Yes  |  Yes  |  Yes  |  Yes  | cbdash   |
| Boulder Dash                     |  Yes  |  Yes  |  Yes  |  Yes  | mf_bdash |
| Boulder Dash / Boulder Dash Part |  Yes  |  Yes  |  Yes  |  Yes  | bouldash |
| Bouncing Balls                   |  Yes  |  Yes  |  Yes  |  Yes  | bballs   |
| Bounty, The                      |  Yes  |  Yes  |  Yes  |  Yes  | bounty   |
| Bowl-O-Rama                      |  Yes  |  Yes  |  Yes  |  Yes  | bowlrama |
| Boxer                            |  Yes  |  Yes  |   No  |  Yes  | boxer    |
| Boxing Bugs                      |  Yes  |  Yes  | Yes(2)|  Yes  | boxingb  |
| Boxy Boy                         |  Yes  |  Yes  |  Yes  |  Yes  | boxyboy  |
| Bradley Trainer                  |  Yes  |  Yes  |  Yes  |  Yes  | bradley  |
| Brain                            |  Yes  |  Yes  |  Yes  |  Yes  | brain    |
| Brave Blade                      |  Yes  |  Yes  |Partial|  Yes  | brvblade |
| Break Thru                       |  Yes  |  Yes  |  Yes  |  Yes  | brkthru  |
| Breakers                         |  Yes  |  Yes  |  Yes  |  Yes  | breakers |
| Brick Zone                       |   No  |  Yes  |  Yes  |  Yes  | brickzn  |
| Bristles                         |  Yes  |  Yes  |  Yes  |  Yes  | mf_brist |
| Brute Force                      |  Yes  |  Yes  |  Yes  |  Yes  | brutforc |
| Bubble 2000                      |  Yes  |  Yes  |  Yes  |  Yes  | bubl2000 |
| Bubble Bobble                    |  Yes  |  Yes  |  Yes  |  Yes  | bublbobl |
| Bubble Bobble 2                  |  Yes  |  Yes  |  Yes  |  Yes  | bublbob2 |
| Bubble Memories - The Story Of Bu|  Yes  |  Yes  |  Yes  |  Yes  | bubblem  |
| Bubbles                          |  Yes  |  Yes  |  Yes  |  Yes  | bubbles  |
| Buccaneers                       |  Yes  |  Yes  |  Yes  |   No  | buccanrs |
| Buck Rogers: Planet of Zoom      |  Yes  |  Yes  | Yes(2)|  Yes  | buckrog  |
| Bucky O'Hare                     |  Yes  |  Yes  |  Yes  |  Yes  | bucky    |
| Buggy Boy                        |   No  |  Yes  |Partial|  Yes  | buggyb1  |
| Buggy Challenge                  |  Yes  |  Yes  |Partial|  Yes  | buggychl |
| Bull Fighter                     |   No  |  Yes  |  Yes  |  Yes  | bullfgtr |
| Bullet                           |   No  |  Yes  |  Yes  |  Yes  | bullet   |
| Bullfight                        |  Yes  |  Yes  |  Yes  |  Yes  | bullfgt  |
| Bulls Eye Darts                  |  Yes  | Close |  Yes  |  Yes  | bullsdrt |
| Burger Time                      |  Yes  |  Yes  |  Yes  |  Yes  | cbtime   |
| Burger Time                      |  Yes  |  Yes  |  Yes  |  Yes  | btime    |
| Burglar X                        |  Yes  |  Yes  |  Yes  |  Yes  | burglarx |
| Buriki One                       |   No  |  Yes  |   No  |  Yes  | buriki   |
| Burnin' Rubber                   |  Yes  |  Yes  |  Yes  |  Yes  | cburnrub |
| Burnin' Rubber                   |  Yes  |  Yes  |  Yes  |  Yes  | brubber  |
| Burning Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | burningf |
| Burning Force                    |  Yes  |  Yes  |  Yes  |  Yes  | burnforc |
| Burning Rival                    |  Yes  |  Yes  |  Yes  |  Yes  | brival   |
| Butasan                          |  Yes  |  Yes  |  Yes  |  Yes  | butasan  |
| Cabal                            |  Yes  |  Yes  |  Yes  |  Yes  | cabal    |
| Cabaret                          |   No  |  Yes  |   No  |  Yes  | cabaret  |
| Cachat                           |  Yes  |  Yes  |  Yes  |  Yes  | cachat   |
| Cadash                           |  Yes  |  Yes  |  Yes  |  Yes  | cadash   |
| Cadillacs and Dinosaurs          |  Yes  |  Yes  |  Yes  |  Yes  | dino     |
| Caliber 50                       |  Yes  |  Yes  |  Yes  |  Yes  | calibr50 |
| California Speed                 |  Yes  |  Yes  |  Yes  |  Yes  | calspeed |
| Calipso                          |  Yes  |  Yes  |  Yes  |  Yes  | calipso  |
| Calorie Kun vs Moguranian        | No(1) |  Yes  |  Yes  |  Yes  | calorie  |
| Cameltry                         |  Yes  |  Yes  |  Yes  |  Yes  | cameltry |
| Cannon Ball                      |  Yes  |  Yes  |Partial|  Yes  | cannball |
| Cannon Ball                      |  Yes  |  Yes  |  Yes  |  Yes  | cannonb  |
| Cannonball                       |  Yes  |   No  |   No  |  Yes  | cball    |
| Canyon Bomber                    |  Yes  |  Yes  |  Yes  |  Yes  | canyon   |
| Capcom Baseball                  |  Yes  |  Yes  |  Yes  |  Yes  | cbasebal |
| Capcom Bowling                   |  Yes  |  Yes  |  Yes  |  Yes  | capbowl  |
| Capcom Sports Club               |  Yes  |  Yes  |  Yes  |  Yes  | csclub   |
| Capcom World                     |  Yes  |  Yes  |  Yes  |  Yes  | cworld   |
| Capcom World 2                   |  Yes  |  Yes  |  Yes  |  Yes  | cworld2j |
| Captain America and The Avengers |  Yes  |  Yes  |  Yes  |  Yes  | captaven |
| Captain Commando                 |  Yes  |  Yes  |  Yes  |  Yes  | captcomm |
| Captain Silver                   |  Yes  |  Yes  |  Yes  |  Yes  | csilver  |
| Captain Sky Hawk                 |  Yes  |  Yes  |  Yes  |  Yes  | pc_cshwk |
| Captain Tomaday                  |  Yes  |  Yes  |  Yes  |  Yes  | ctomaday |
| Car Jamboree                     |  Yes  | Close |  Yes  |  Yes  | carjmbre |
| Car Polo                         |  Yes  |  Yes  |   No  |  Yes  | carpolo  |
| CarnEvil                         |  Yes  |  Yes  |  Yes  |  Yes  | carnevil |
| Carnival                         |  Yes  |  Yes  | Yes(2)|  Yes  | carnival |
| Carrier Air Wing                 |  Yes  |  Yes  |  Yes  |  Yes  | cawing   |
| Cart Fury                        |   No  |  Yes  |   No  |  Yes  | cartfury |
| Castlevania                      |  Yes  |  Yes  |  Yes  |  Yes  | pc_cvnia |
| Catapult                         |   No  |  Yes  |  Yes  |  Yes  | catapult |
| Cavelon                          |  Yes  |  Yes  |  Yes  |  Yes  | cavelon  |
| Caveman Ninja                    |  Yes  |  Yes  |  Yes  |  Yes  | cninja   |
| Centipede                        |  Yes  |  Yes  |  Yes  |  Yes  | centiped |
| Cerberus                         |  Yes  |  Yes  |  Yes  |  Yes  | cerberus |
| Chack'n Pop                      |  Yes  |  Yes  |  Yes  |  Yes  | chaknpop |
| Chain Reaction                   |   No  |  Yes  |   No  |  Yes  | chainrec |
| Challenger                       |  Yes  |  Yes  |  Yes  |  Yes  | challeng |
| Chameleon                        |  Yes  |  Yes  |  Yes  |  Yes  | chameleo |
| Champion Baseball                |  Yes  |  Yes  |  Yes  |  Yes  | champbas |
| Champion Baseball II             |   No  |  Yes  |  Yes  |  Yes  | champbb2 |
| Champion Boxing                  |  Yes  |  Yes  |  Yes  |  Yes  | chboxing |
| Champion List II                 |   No  |  Yes  |   No  |  Yes  | chmplst2 |
| Champion Pro Wrestling           |  Yes  |  Yes  |  Yes  |  Yes  | chwrestl |
| Champion Wrestler                |  Yes  |  Yes  |Partial|  Yes  | champwr  |
| Championship Bowling             |  Yes  |  Yes  |  Yes  |  Yes  | champbwl |
| Championship Sprint              |  Yes  |  Yes  |  Yes  |  Yes  | csprint  |
| Change Air Blade                 |  Yes  |  Yes  |  Yes  |   No  | cairblad |
| Change Lanes                     |   No  |  Yes  |  Yes  |  Yes  | changela |
| Changes                          |  Yes  |  Yes  |  Yes  |  Yes  | changes  |
| Charlie Ninja                    |   No  |  Yes  |   No  |  Yes  | charlien |
| Chase H.Q.                       |  Yes  |  Yes  |  Yes  |  Yes  | chasehq  |
| Check Man                        |  Yes  |  Yes  |  Yes  |  Yes  | checkman |
| Checkmate                        |  Yes  |  Yes  |   No  |  Yes  | checkmat |
| Cheeky Mouse                     |  Yes  |   No  |Partial|  Yes  | cheekyms |
| Cheese Chase                     |  Yes  |  Yes  |  Yes  |  Yes  | cheesech |
| Chelnov - Atomic Runner          |  Yes  |  Yes  |  Yes  |  Yes  | chelnov  |
| Chequered Flag                   |   No  |  Yes  |Partial|  Yes  | chqflag  |
| Cheyenne                         |  Yes  |  Yes  |  Yes  |  Yes  | cheyenne |
| Chibi Marukochan Deluxe Quiz     |  Yes  |  Yes  |  Yes  |  Yes  | marukodq |
| Chicken Shift                    |  Yes  |  Yes  |  Yes  |  Yes  | cshift   |
| Chiller                          |  Yes  |  Yes  |  Yes  |  Yes  | chiller  |
| Chimera Beast                    |  Yes  |  Yes  |  Yes  |  Yes  | chimerab |
| China Dragon / Dragon World      |   No  |  Yes  |   No  |  Yes  | chindrag |
| China Gate                       |  Yes  |  Yes  |  Yes  |  Yes  | chinagat |
| China Town                       |  Yes  |  Yes  |  Yes  |  Yes  | chinatwn |
| Chinese Casino [BET]             |  Yes  |  Yes  |  Yes  |  Yes  | ccasino  |
| Chinese Hero                     |  Yes  |  Yes  |  Yes  |  Yes  | chinhero |
| Chip'n Dale: Rescue Rangers      |  Yes  |  Yes  |  Yes  |  Yes  | pc_rrngr |
| Choko                            |   No  |  Yes  |  Yes  |  Yes  | choko    |
| Choplifter                       | No(1) |  Yes  |  Yes  |  Yes  | chplft   |
| Chopper I                        |  Yes  |  Yes  |  Yes  |   No  | chopper  |
| Chuka Taisen                     |  Yes  |  Yes  |  Yes  |  Yes  | chukatai |
| Circus                           |  Yes  |  Yes  | Yes(2)|  Yes  | circus   |
| Circus Charlie                   |  Yes  |  Yes  |  Yes  |  Yes  | circusc  |
| Cisco Heat                       |  Yes  |  Yes  |  Yes  |  Yes  | cischeat |
| City Bomber                      |  Yes  |  Yes  |  Yes  |   No  | citybomb |
| City Connection                  |  Yes  |  Yes  |  Yes  |  Yes  | citycon  |
| City Love                        |  Yes  |  Yes  |  Yes  |  Yes  | citylove |
| Clash-Road                       |  Yes  |  Yes  |  Yes  |  Yes  | clshroad |
| Clay Pigeon                      |  Yes  |  Yes  |  Yes  |  Yes  | claypign |
| Clay Shoot                       |  Yes  |  Yes  |   No  |  Yes  | clayshoo |
| Cleopatra Fortune                |  Yes  |  Yes  |  Yes  |  Yes  | cleopatr |
| Cliffhanger - Edward Randy, The  |  Yes  |  Yes  |  Yes  |  Yes  | edrandy  |
| Cloak & Dagger                   |  Yes  |  Yes  |  Yes  |  Yes  | cloak    |
| Cloud 9                          |  Yes  |  Yes  |  Yes  |   No  | cloud9   |
| Clowns                           |  Yes  |  Yes  |Part(2)|  Yes  | clowns   |
| Clutch Hitter                    |  Yes  |  Yes  |  Yes  |  Yes  | cltchitr |
| Cobra-Command                    |  Yes  |  Yes  |  Yes  |  Yes  | cobracom |
| Colony 7                         |  Yes  |  Yes  |  Yes  |  Yes  | colony7  |
| Columns                          |   No  |  Yes  |  Yes  |  Yes  | mt_cols  |
| Columns                          |  Yes  |  Yes  |  Yes  |  Yes  | columns  |
| Columns '97                      |  Yes  |  Yes  |Partial|  Yes  | colmns97 |
| Columns II: The Voyage Through Ti|  Yes  |  Yes  |  Yes  |  Yes  | columns2 |
| Combat                           |  Yes  |  Yes  |  Yes  |  Yes  | combat   |
| Combat School                    |  Yes  |  Yes  |  Yes  |  Yes  | combasc  |
| Combatribes, The                 |  Yes  |  Yes  |  Yes  |  Yes  | ctribe   |
| Command War - Super Special Battl|  Yes  |  Yes  |  Yes  |  Yes  | commandw |
| Commando                         |  Yes  |  Yes  |  Yes  |  Yes  | commando |
| Commando                         |  Yes  |  Yes  |Partial|  Yes  | commsega |
| Comotion                         |  Yes  |  Yes  |Part(2)|  Yes  | comotion |
| Competition Golf Final Round     |  Yes  |  Yes  |  Yes  |  Yes  | compgolf |
| Complex X                        |  Yes  |  Yes  |  Yes  |  Yes  | complexx |
| Congo Bongo                      |  Yes  |  Yes  | Yes(2)|  Yes  | congo    |
| Conquer                          |   No  |  Yes  |  Yes  |  Yes  | conquer  |
| Continental Circus               |  Yes  |  Yes  |  Yes  |  Yes  | contcirc |
| Contra                           |  Yes  |  Yes  |  Yes  |  Yes  | contra   |
| Contra                           |  Yes  |  Yes  |  Yes  |  Yes  | pc_cntra |
| Contra 3: The Alien Wars         |   No  |  Yes  |   No  |  Yes  | nss_con3 |
| Cookie & Bibi                    |  Yes  |  Yes  |  Yes  |  Yes  | cookbib  |
| Cookie and Bibi 2                |  Yes  |  Yes  |  Yes  |  Yes  | cookbib2 |
| Cool Boarders Arcade Jam         |  Yes  |  Yes  |Partial|  Yes  | cbaj     |
| Cool Mini                        |   No  |  Yes  |  Yes  |  Yes  | coolmini |
| Cool Pool                        |   No  |  Yes  |   No  |  Yes  | coolpool |
| Cool Riders                      |   No  |  Yes  |   No  |  Yes  | coolridr |
| Cop 01                           |  Yes  |  Yes  |  Yes  |  Yes  | cop01    |
| Cops'n Robbers                   |  Yes  |  Yes  |   No  |  Yes  | copsnrob |
| Cosmic Alien                     |  Yes  |  Yes  |   No  |  Yes  | cosmica  |
| Cosmic Avenger                   |  Yes  |  Yes  |  Yes  |  Yes  | cavenger |
| Cosmic Chasm                     |  Yes  |  Yes  |  Yes  |  Yes  | cchasm   |
| Cosmic Cop                       |  Yes  |  Yes  |  Yes  |   No  | cosmccop |
| Cosmic Guerilla                  |  Yes  |  Yes  | Yes(2)|   No  | cosmicg  |
| Cosmo                            |  Yes  |  Yes  |   No  |  Yes  | cosmo    |
| Cosmo Gang the Puzzle            |  Yes  |  Yes  |Partial|  Yes  | cgangpzl |
| Cosmo Gang the Video             |  Yes  |  Yes  |  Yes  |  Yes  | cosmogng |
| Cosmos                           |  Yes  |  Yes  |Partial|   No  | cosmos   |
| Cotton                           |  Yes  |  Yes  |  Yes  |  Yes  | cotton   |
| Cotton 2                         |  Yes  |  Yes  |Partial|  Yes  | cotton2  |
| Cotton Boomerang                 |  Yes  |  Yes  |Partial|  Yes  | cottonbm |
| Counter Run                      | No(1) |  Yes  |  Yes  |  Yes  | countrun |
| Counter Steer                    |   No  |  Yes  |   No  |  Yes  | cntsteer |
| Couples, The                     |   No  |  Yes  |   No  |  Yes  | couple   |
| Crack Down                       |   No  |  Yes  |  Yes  |  Yes  | mt_crack |
| Crackdown                        |   No  |  Yes  |  Yes  |  Yes  | crkdown  |
| Crackshot                        |  Yes  |  Yes  |  Yes  |  Yes  | cracksht |
| Crash                            |  Yes  |  Yes  |Part(2)|  Yes  | crash    |
| Crater Raider                    |  Yes  |  Yes  |  Yes  |  Yes  | crater   |
| Crayon Shinchan Orato Asobo      |  Yes  |  Yes  |  Yes  |  Yes  | qcrayon2 |
| Crazy Balloon                    |  Yes  |  Yes  |Partial|  Yes  | crbaloon |
| Crazy Climber                    |  Yes  |  Yes  |  Yes  |  Yes  | cclimber |
| Crazy Climber 2                  |  Yes  |  Yes  |  Yes  |  Yes  | cclimbr2 |
| Crazy Kong                       |  Yes  |  Yes  |  Yes  |  Yes  | ckong    |
| Crazy Rally                      |  Yes  |  Yes  |  Yes  |  Yes  | crzrally |
| Crime City                       |  Yes  |  Yes  |  Yes  |  Yes  | crimec   |
| Crime Fighters                   |  Yes  |  Yes  |  Yes  |  Yes  | crimfght |
| Cross Pang                       |  Yes  |  Yes  |  Yes  |  Yes  | crospang |
| Cross Shooter                    |   No  |  Yes  |   No  |  Yes  | cshooter |
| Crossbow                         |  Yes  |  Yes  |  Yes  |  Yes  | crossbow |
| Crossed Swords                   |  Yes  |  Yes  |  Yes  |  Yes  | crsword  |
| Crowns Golf                      |  Yes  |  Yes  |  Yes  |  Yes  | crgolf   |
| Crude Buster                     |  Yes  |  Yes  |  Yes  |  Yes  | cbuster  |
| Cruis'n Exotica                  |   No  |  Yes  |   No  |  Yes  | crusnexo |
| Cruis'n USA                      |  Yes  |  Yes  |  Yes  |  Yes  | crusnusa |
| Cruis'n World                    |  Yes  |  Yes  |  Yes  |  Yes  | crusnwld |
| Crush Roller                     |  Yes  |  Yes  |  Yes  |  Yes  | crush    |
| Crypt Killer                     |  Yes  |  Yes  |  Yes  |  Yes  | cryptklr |
| Crystal Castles                  |  Yes  |  Yes  |  Yes  |  Yes  | ccastles |
| Crystal Gal                      |   No  |  Yes  |  Yes  |  Yes  | crystalg |
| Crystal Gal 2                    |   No  |  Yes  |  Yes  |  Yes  | crystal2 |
| Crystal of Kings, The            |  Yes  |  Yes  |  Yes  |  Yes  | crysking |
| Cuby Bop                         |  Yes  |  Yes  |  Yes  |  Yes  | cubybop  |
| Cue Brick                        |  Yes  |  Yes  |  Yes  |  Yes  | cuebrick |
| Curve Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | curvebal |
| Cutie Q                          |  Yes  |  Yes  |  Yes  |  Yes  | cutieq   |
| Cybattler                        |  Yes  |  Yes  |  Yes  |  Yes  | cybattlr |
| Cyber Commando                   |   No  |  Yes  |   No  |  Yes  | cybrcomm |
| Cyber Cycles                     |  Yes  |  Yes  |   No  |  Yes  | cybrcycc |
| Cyber Police ESWAT: Enhanced Spec|   No  |  Yes  |  Yes  |  Yes  | mt_eswat |
| Cyber Sled                       |   No  |  Yes  |  Yes  |  Yes  | cybsled  |
| Cyber-Lip                        |  Yes  |  Yes  |  Yes  |  Yes  | cyberlip |
| Cyberball                        |  Yes  |  Yes  |  Yes  |  Yes  | cyberbal |
| Cyberbots: Fullmetal Madness     | No(1) |  Yes  |  Yes  |  Yes  | cybots   |
| Cycle Shooting                   | No(1) |  Yes  |  Yes  |  Yes  | cyclshtg |
| Cycle Warriors                   |  Yes  |  Yes  |  Yes  |  Yes  | cyclwarr |
| Cyvern                           |  Yes  |  Yes  |  Yes  |  Yes  | cyvern   |
| D-Con                            |  Yes  |  Yes  |  Yes  |   No  | dcon     |
| D-Day                            |  Yes  | Close |  Yes  |  Yes  | dday     |
| D-Day                            |   No  |  Yes  |  Yes  |   No  | ddayjlc  |
| D. D. Crew                       | No(1) |  Yes  |  Yes  |  Yes  | ddcrew   |
| DJ Boy                           |   No  |  Yes  |  Yes  |  Yes  | djboy    |
| Dacholer                         |  Yes  |   No  |   No  |  Yes  | dacholer |
| Daioh                            |  Yes  |  Yes  |  Yes  |  Yes  | daioh    |
| Daisu-Kiss                       |  Yes  |  Yes  |  Yes  |  Yes  | daiskiss |
| Daitoride                        |  Yes  |  Yes  |  Yes  |  Yes  | daitorid |
| DakkoChan Jansoh                 |   No  |  Yes  |  Yes  |   No  | dakkochn |
| Dambusters                       |   No  |  Yes  |  Yes  |  Yes  | dambustr |
| Danchi de Hanafuoda              |  Yes  |  Yes  |Partial|  Yes  | danchih  |
| Dancing Eyes                     |  Yes  |  Yes  |   No  |  Yes  | danceyes |
| Dangar - Ufo Robo                |  Yes  |  Yes  |  Yes  |  Yes  | dangar   |
| Danger Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | dangerz  |
| Dangerous Dungeons               |  Yes  |  Yes  |  Yes  |  Yes  | ddungeon |
| Dangerous Seed                   |  Yes  |  Yes  |  Yes  |  Yes  | dangseed |
| Dangun Feveron                   |  Yes  |  Yes  |  Yes  |  Yes  | dfeveron |
| Danny Sullivan's Indy Heat       |  Yes  |  Yes  |  Yes  |  Yes  | indyheat |
| Daraku Tenshi - The Fallen Angels|  Yes  |  Yes  |  Yes  |  Yes  | daraku   |
| Darius                           |  Yes  |  Yes  |  Yes  |  Yes  | darius   |
| Darius Gaiden - Silver Hawk      |  Yes  |  Yes  |  Yes  |  Yes  | dariusg  |
| Darius II                        |  Yes  |  Yes  |  Yes  |  Yes  | darius2  |
| Dark Edge                        |   No  |  Yes  |  Yes  |  Yes  | darkedge |
| Dark Planet                      |  Yes  |  Yes  |  Yes  |  Yes  | darkplnt |
| Dark Seal                        |  Yes  |  Yes  |  Yes  |  Yes  | darkseal |
| Dark Tower                       |  Yes  |  Yes  |  Yes  |  Yes  | darktowr |
| Dark Warrior                     |  Yes  |  Yes  |Partial|   No  | darkwar  |
| Darkstalkers: The Night Warriors |  Yes  |  Yes  |  Yes  |  Yes  | dstlk    |
| Darwin 4078                      |  Yes  |  Yes  |  Yes  |  Yes  | darwin   |
| Datsun 280 Zzzap                 |  Yes  |  Yes  |   No  |  Yes  | 280zzzap |
| David Crane's Amazing Tennis     |   No  |  Yes  |   No  |  Yes  | nss_aten |
| Daytona USA                      |   No  |  Yes  |  Yes  |  Yes  | daytona  |
| Daytona USA 2                    |   No  |  Yes  |   No  |  Yes  | daytona2 |
| Dazzler                          |  Yes  |  Yes  |Partial|   No  | dazzler  |
| Dead Angle                       |  Yes  |  Yes  |  Yes  |  Yes  | deadang  |
| Dead Connection                  |  Yes  |  Yes  |  Yes  |  Yes  | deadconx |
| Dead Eye                         |  Yes  |  Yes  |  Yes  |  Yes  | deadeye  |
| Dead Eye                         |   No  |  Yes  |Partial|  Yes  | kdeadeye |
| Dead Or Alive ++                 |  Yes  |  Yes  |Partial|  Yes  | doapp    |
| Dead or Alive                    |   No  |  Yes  |  Yes  |  Yes  | doa      |
| Dealer, The                      |   No  |  Yes  |  Yes  |  Yes  | dealer   |
